"date","stage","props"
"1996-01-01","-24.64","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-02","-24.59","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-03","-24.63","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-04","-24.72","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-05","-24.83","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-06","-24.94","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-07","-25.00","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-08","-25.00","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-09","-24.97","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-10","-24.93","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-11","-24.90","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-12","-24.86","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-13","-24.79","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-14","-24.72","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-15","-24.64","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-16","-24.59","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-17","-24.55","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-18","-24.51","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-19","-24.47","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-20","-24.43","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-21","-24.38","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-22","-24.35","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-23","-24.34","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-24","-24.31","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-25","-24.28","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-26","-24.25","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-27","-24.22","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-28","-24.20","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-29","-24.16","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-30","-24.14","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-01-31","-24.14","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-01","-24.16","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-02","-24.18","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-03","-24.22","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-04","-24.24","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-05","-24.23","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-06","-24.21","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-07","-24.21","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-08","-24.21","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-09","-24.19","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-10","-24.17","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-11","-24.11","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-12","-24.05","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-13","-24.00","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-14","-23.98","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-15","-23.93","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-16","-23.86","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-17","-23.78","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-18","-23.71","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-19","-23.65","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-20","-23.64","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-21","-23.68","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-22","-23.75","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-23","-23.82","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-24","-23.90","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-25","-23.95","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-26","-24.01","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-27","-24.06","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-28","-24.10","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-02-29","-24.12","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-01","-24.13","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-02","-24.11","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-03","-24.10","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-04","-24.08","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-05","-24.08","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-06","-24.10","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-07","-24.15","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-08","-24.21","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-09","-24.29","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-10","-24.40","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-11","-24.55","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-12","-24.68","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-13","-24.81","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
"1996-03-14","-24.93","{8e024c75-2cad-11ec-be51-ac1f6bb548d2}"
